game_title	steam_url
The Jackbox Party Pack 5	https://store.steampowered.com/app/774461/The_Jackbox_Party_Pack_5/?snr=1_7_7_230_150_3
Stellaris	https://store.steampowered.com/app/281990/Stellaris/?snr=1_7_7_230_150_3
Dead Cells	https://store.steampowered.com/app/588650/Dead_Cells/?snr=1_7_7_230_150_3
PC Building Simulator	https://store.steampowered.com/app/621060/PC_Building_Simulator/?snr=1_7_7_230_150_3
FINAL FANTASY XIV Online	https://store.steampowered.com/app/39210/FINAL_FANTASY_XIV_Online/?snr=1_7_7_230_150_3
Grim Dawn	https://store.steampowered.com/app/219990/Grim_Dawn/?snr=1_7_7_230_150_3
Celeste	https://store.steampowered.com/app/504230/Celeste/?snr=1_7_7_230_150_3
Project Hospital	https://store.steampowered.com/app/868360/Project_Hospital/?snr=1_7_7_230_150_3
Return of the Obra Dinn	https://store.steampowered.com/app/653530/Return_of_the_Obra_Dinn/?snr=1_7_7_230_150_3
Hearts of Iron IV	https://store.steampowered.com/app/394360/Hearts_of_Iron_IV/?snr=1_7_7_230_150_3
A Hat in Time	https://store.steampowered.com/app/253230/A_Hat_in_Time/?snr=1_7_7_230_150_3
Terraria	https://store.steampowered.com/app/105600/Terraria/?snr=1_7_7_230_150_3
Two Point Hospital	https://store.steampowered.com/app/535930/Two_Point_Hospital/?snr=1_7_7_230_150_3
Total War: WARHAMMER	https://store.steampowered.com/app/364360/Total_War_WARHAMMER/?snr=1_7_7_230_150_3
Nimbatus - The Space Drone Constructor	https://store.steampowered.com/app/383840/Nimbatus__The_Space_Drone_Constructor/?snr=1_7_7_230_150_3
DOOM	https://store.steampowered.com/app/379720/DOOM/?snr=1_7_7_230_150_3
Slay the Spire	https://store.steampowered.com/app/646570/Slay_the_Spire/?snr=1_7_7_230_150_3
Cuphead	https://store.steampowered.com/app/268910/Cuphead/?snr=1_7_7_230_150_3
The Jackbox Party Pack 3	https://store.steampowered.com/app/434170/The_Jackbox_Party_Pack_3/?snr=1_7_7_230_150_3
7 Days to Die	https://store.steampowered.com/app/251570/7_Days_to_Die/?snr=1_7_7_230_150_4
Pummel Party	https://store.steampowered.com/app/880940/Pummel_Party/?snr=1_7_7_230_150_4
SUPERHOT VR	https://store.steampowered.com/app/617830/SUPERHOT_VR/?snr=1_7_7_230_150_4
Paladins®	https://store.steampowered.com/app/444090/Paladins/?snr=1_7_7_230_150_4
Arma 3	https://store.steampowered.com/app/107410/Arma_3/?snr=1_7_7_230_150_4
Squad	https://store.steampowered.com/app/393380/Squad/?snr=1_7_7_230_150_4
Arizona Sunshine	https://store.steampowered.com/app/342180/Arizona_Sunshine/?snr=1_7_7_230_150_4
Age of Empires® III: Complete Collection	https://store.steampowered.com/app/105450/Age_of_Empires_III_Complete_Collection/?snr=1_7_7_230_150_4
Pavlov VR	https://store.steampowered.com/app/555160/Pavlov_VR/?snr=1_7_7_230_150_4
Kerbal Space Program	https://store.steampowered.com/app/220200/Kerbal_Space_Program/?snr=1_7_7_230_150_4
Hollow Knight	https://store.steampowered.com/app/367520/Hollow_Knight/?snr=1_7_7_230_150_4
Conan Exiles	https://store.steampowered.com/app/440900/Conan_Exiles/?snr=1_7_7_230_150_4
Factorio	https://store.steampowered.com/app/427520/Factorio/?snr=1_7_7_230_150_4
Don't Starve Together	https://store.steampowered.com/app/322330/Dont_Starve_Together/?snr=1_7_7_230_150_4
DARK SOULS™: REMASTERED	https://store.steampowered.com/app/570940/DARK_SOULS_REMASTERED/?snr=1_7_7_230_150_4
Yakuza 0	https://store.steampowered.com/app/638970/Yakuza_0/?snr=1_7_7_230_150_4
The Universim	https://store.steampowered.com/app/352720/The_Universim/?snr=1_7_7_230_150_4
Fallout: New Vegas	https://store.steampowered.com/app/22380/Fallout_New_Vegas/?snr=1_7_7_230_150_4
Shadowverse CCG	https://store.steampowered.com/app/453480/Shadowverse_CCG/?snr=1_7_7_230_150_4
Human: Fall Flat	https://store.steampowered.com/app/477160/Human_Fall_Flat/?snr=1_7_7_230_150_4
Stick Fight: The Game	https://store.steampowered.com/app/674940/Stick_Fight_The_Game/?snr=1_7_7_230_150_4
The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe	https://store.steampowered.com/app/900883/The_Elder_Scrolls_IV_Oblivion_Game_of_the_Year_Edition_Deluxe/?snr=1_7_7_230_150_4
Borderlands: The Pre-Sequel	https://store.steampowered.com/app/261640/Borderlands_The_PreSequel/?snr=1_7_7_230_150_4
Hunt Showdown	https://store.steampowered.com/app/594650/Hunt_Showdown/?snr=1_7_7_230_150_4
Assassin's Creed® Origins	https://store.steampowered.com/app/582160/Assassins_Creed_Origins/?snr=1_7_7_230_150_4
BeamNG.drive	https://store.steampowered.com/app/284160/BeamNGdrive/?snr=1_7_7_230_150_5
SOULCALIBUR VI	https://store.steampowered.com/app/544750/SOULCALIBUR_VI/?snr=1_7_7_230_150_5
Total War Saga: THRONES OF BRITANNIA	https://store.steampowered.com/app/712100/Total_War_Saga_THRONES_OF_BRITANNIA/?snr=1_7_7_230_150_5
GORN	https://store.steampowered.com/app/578620/GORN/?snr=1_7_7_230_150_5
Realm of the Mad God	https://store.steampowered.com/app/200210/Realm_of_the_Mad_God/?snr=1_7_7_230_150_5
For The King	https://store.steampowered.com/app/527230/For_The_King/?snr=1_7_7_230_150_5
Planet Coaster	https://store.steampowered.com/app/493340/Planet_Coaster/?snr=1_7_7_230_150_5
Pillars of Eternity II: Deadfire	https://store.steampowered.com/app/560130/Pillars_of_Eternity_II_Deadfire/?snr=1_7_7_230_150_5
Thronebreaker: The Witcher Tales	https://store.steampowered.com/app/973760/Thronebreaker_The_Witcher_Tales/?snr=1_7_7_230_150_5
Gang Beasts	https://store.steampowered.com/app/285900/Gang_Beasts/?snr=1_7_7_230_150_5
Into the Breach	https://store.steampowered.com/app/590380/Into_the_Breach/?snr=1_7_7_230_150_5
DRAGON BALL FighterZ	https://store.steampowered.com/app/678950/DRAGON_BALL_FighterZ/?snr=1_7_7_230_150_5
NBA 2K19	https://store.steampowered.com/app/841370/NBA_2K19/?snr=1_7_7_230_150_5
The Elder Scrolls Online: Summerset	https://store.steampowered.com/app/799520/The_Elder_Scrolls_Online_Summerset/?snr=1_7_7_230_150_5
XCOM® 2	https://store.steampowered.com/app/268500/XCOM_2/?snr=1_7_7_230_150_5
Undertale	https://store.steampowered.com/app/391540/Undertale/?snr=1_7_7_230_150_5
Northgard	https://store.steampowered.com/app/466560/Northgard/?snr=1_7_7_230_150_5
World of Warships	https://store.steampowered.com/app/552990/World_of_Warships/?snr=1_7_7_230_150_5
Elite Dangerous	https://store.steampowered.com/app/359320/Elite_Dangerous/?snr=1_7_7_230_150_5
DUSK	https://store.steampowered.com/app/519860/DUSK/?snr=1_7_7_230_150_5
The Jackbox Party Pack 4	https://store.steampowered.com/app/610180/The_Jackbox_Party_Pack_4/?snr=1_7_7_230_150_5
The Blackout Club	https://store.steampowered.com/app/599080/The_Blackout_Club/?snr=1_7_7_230_150_5
Hot Dogs, Horseshoes & Hand Grenades	https://store.steampowered.com/app/450540/Hot_Dogs_Horseshoes__Hand_Grenades/?snr=1_7_7_230_150_5
Tom Clancy’s The Division™	https://store.steampowered.com/app/365590/Tom_Clancys_The_Division/?snr=1_7_7_230_150_5
BioShock Infinite	https://store.steampowered.com/app/8870/BioShock_Infinite/?snr=1_7_7_230_150_5
GRIS	https://store.steampowered.com/app/683320/GRIS/?snr=1_7_7_230_150_6
Warhammer 40,000: Mechanicus	https://store.steampowered.com/app/673880/Warhammer_40000_Mechanicus/?snr=1_7_7_230_150_6
Valkyria Chronicles 4	https://store.steampowered.com/app/790820/Valkyria_Chronicles_4/?snr=1_7_7_230_150_6
CrossCode	https://store.steampowered.com/app/368340/CrossCode/?snr=1_7_7_230_150_6
Left 4 Dead 2	https://store.steampowered.com/app/550/Left_4_Dead_2/?snr=1_7_7_230_150_6
Budget Cuts	https://store.steampowered.com/app/400940/Budget_Cuts/?snr=1_7_7_230_150_6
Dishonored 2	https://store.steampowered.com/app/403640/Dishonored_2/?snr=1_7_7_230_150_6
Killing Floor 2	https://store.steampowered.com/app/232090/Killing_Floor_2/?snr=1_7_7_230_150_6
Parkitect	https://store.steampowered.com/app/453090/Parkitect/?snr=1_7_7_230_150_6
House Flipper	https://store.steampowered.com/app/613100/House_Flipper/?snr=1_7_7_230_150_6
The Binding of Isaac: Rebirth	https://store.steampowered.com/app/250900/The_Binding_of_Isaac_Rebirth/?snr=1_7_7_230_150_6
BioShock™ Remastered	https://store.steampowered.com/app/409710/BioShock_Remastered/?snr=1_7_7_230_150_6
BioShock™ 2 Remastered	https://store.steampowered.com/app/409720/BioShock_2_Remastered/?snr=1_7_7_230_150_6
FINAL FANTASY XII THE ZODIAC AGE	https://store.steampowered.com/app/595520/FINAL_FANTASY_XII_THE_ZODIAC_AGE/?snr=1_7_7_230_150_6
ASTRONEER	https://store.steampowered.com/app/361420/ASTRONEER/?snr=1_7_7_230_150_6
Wolfenstein II: The New Colossus	https://store.steampowered.com/app/612880/Wolfenstein_II_The_New_Colossus/?snr=1_7_7_230_150_6
Golf With Your Friends	https://store.steampowered.com/app/431240/Golf_With_Your_Friends/?snr=1_7_7_230_150_6
Book of Demons	https://store.steampowered.com/app/449960/Book_of_Demons/?snr=1_7_7_230_150_6
The Elder Scrolls® Online	https://store.steampowered.com/app/306130/The_Elder_Scrolls_Online/?snr=1_7_7_230_150_6
Thief Simulator	https://store.steampowered.com/app/704850/Thief_Simulator/?snr=1_7_7_230_150_6
Sunset Overdrive	https://store.steampowered.com/app/847370/Sunset_Overdrive/?snr=1_7_7_230_150_6
Yu-Gi-Oh! Duel Links	https://store.steampowered.com/app/601510/YuGiOh_Duel_Links/?snr=1_7_7_230_150_6
Pathfinder: Kingmaker	https://store.steampowered.com/app/640820/Pathfinder_Kingmaker/?snr=1_7_7_230_150_6
Contractors	https://store.steampowered.com/app/963930/Contractors/?snr=1_7_7_230_150_6
Age of Empires II HD	https://store.steampowered.com/app/221380/Age_of_Empires_II_HD/?snr=1_7_7_230_150_6
Borderlands 2	https://store.steampowered.com/app/49520/Borderlands_2/?snr=1_7_7_230_150_7
Hellblade: Senua's Sacrifice	https://store.steampowered.com/app/414340/Hellblade_Senuas_Sacrifice/?snr=1_7_7_230_150_7
Oxygen Not Included	https://store.steampowered.com/app/457140/Oxygen_Not_Included/?snr=1_7_7_230_150_7
Job Simulator	https://store.steampowered.com/app/448280/Job_Simulator/?snr=1_7_7_230_150_7
Kingdom Two Crowns	https://store.steampowered.com/app/701160/Kingdom_Two_Crowns/?snr=1_7_7_230_150_7
Football Manager 2019	https://store.steampowered.com/app/872790/Football_Manager_2019/?snr=1_7_7_230_150_7
Vanquish	https://store.steampowered.com/app/460810/Vanquish/?snr=1_7_7_230_150_7
NARUTO TO BORUTO: SHINOBI STRIKER	https://store.steampowered.com/app/633230/NARUTO_TO_BORUTO_SHINOBI_STRIKER/?snr=1_7_7_230_150_7
The Isle	https://store.steampowered.com/app/376210/The_Isle/?snr=1_7_7_230_150_7
Cities: Skylines	https://store.steampowered.com/app/255710/Cities_Skylines/?snr=1_7_7_230_150_7
FOR HONOR™	https://store.steampowered.com/app/304390/FOR_HONOR/?snr=1_7_7_230_150_7
Crash Bandicoot™ N. Sane Trilogy	https://store.steampowered.com/app/731490/Crash_Bandicoot_N_Sane_Trilogy/?snr=1_7_7_230_150_7
EARTH DEFENSE FORCE 4.1 The Shadow of New Despair	https://store.steampowered.com/app/410320/EARTH_DEFENSE_FORCE_41_The_Shadow_of_New_Despair/?snr=1_7_7_230_150_7
Portal 2	https://store.steampowered.com/app/620/Portal_2/?snr=1_7_7_230_150_7
FINAL FANTASY® XI: Ultimate Collection Seekers Edition	https://store.steampowered.com/app/230330/FINAL_FANTASY_XI_Ultimate_Collection_Seekers_Edition/?snr=1_7_7_230_150_7
The Escapists 2	https://store.steampowered.com/app/641990/The_Escapists_2/?snr=1_7_7_230_150_7
Lethal League Blaze	https://store.steampowered.com/app/553310/Lethal_League_Blaze/?snr=1_7_7_230_150_7
X-Plane 11	https://store.steampowered.com/app/269950/XPlane_11/?snr=1_7_7_230_150_7
The Witcher 3: Wild Hunt - Game of the Year Edition	https://store.steampowered.com/sub/124923/?snr=1_7_7_230_150_7
Brawlhalla	https://store.steampowered.com/app/291550/Brawlhalla/?snr=1_7_7_230_150_7
Skater XL	https://store.steampowered.com/app/962730/Skater_XL/?snr=1_7_7_230_150_7
Starbound	https://store.steampowered.com/app/211820/Starbound/?snr=1_7_7_230_150_7
X4: Foundations	https://store.steampowered.com/app/392160/X4_Foundations/?snr=1_7_7_230_150_7
Mutant Year Zero: Road to Eden	https://store.steampowered.com/app/760060/Mutant_Year_Zero_Road_to_Eden/?snr=1_7_7_230_150_7
Foxhole	https://store.steampowered.com/app/505460/Foxhole/?snr=1_7_7_230_150_7
Space Engineers	https://store.steampowered.com/app/244850/Space_Engineers/?snr=1_7_7_230_150_8
Enter the Gungeon	https://store.steampowered.com/app/311690/Enter_the_Gungeon/?snr=1_7_7_230_150_8
Darkest Dungeon®	https://store.steampowered.com/app/262060/Darkest_Dungeon/?snr=1_7_7_230_150_8
Golf It!	https://store.steampowered.com/app/571740/Golf_It/?snr=1_7_7_230_150_8
Total War™: ROME II - Emperor Edition	https://store.steampowered.com/app/214950/Total_War_ROME_II__Emperor_Edition/?snr=1_7_7_230_150_8
Sniper Elite 4	https://store.steampowered.com/app/312660/Sniper_Elite_4/?snr=1_7_7_230_150_8
Mortal Kombat X	https://store.steampowered.com/app/307780/Mortal_Kombat_X/?snr=1_7_7_230_150_8
Nioh: Complete Edition / 仁王 Complete Edition	https://store.steampowered.com/app/485510/Nioh_Complete_Edition___Complete_Edition/?snr=1_7_7_230_150_8
Castle Crashers®	https://store.steampowered.com/app/204360/Castle_Crashers/?snr=1_7_7_230_150_8
The Jackbox Party Pack 2	https://store.steampowered.com/app/397460/The_Jackbox_Party_Pack_2/?snr=1_7_7_230_150_8
TEKKEN 7	https://store.steampowered.com/app/389730/TEKKEN_7/?snr=1_7_7_230_150_8
Ni no Kuni™ II: Revenant Kingdom	https://store.steampowered.com/app/589360/Ni_no_Kuni_II_Revenant_Kingdom/?snr=1_7_7_230_150_8
Universe Sandbox ²	https://store.steampowered.com/app/230290/Universe_Sandbox/?snr=1_7_7_230_150_8
DayZ	https://store.steampowered.com/app/221100/DayZ/?snr=1_7_7_230_150_8
BATTLETECH	https://store.steampowered.com/app/637090/BATTLETECH/?snr=1_7_7_230_150_8
Ori and the Blind Forest: Definitive Edition	https://store.steampowered.com/app/387290/Ori_and_the_Blind_Forest_Definitive_Edition/?snr=1_7_7_230_150_8
Startup Company	https://store.steampowered.com/app/606800/Startup_Company/?snr=1_7_7_230_150_8
NieR:Automata™	https://store.steampowered.com/app/524220/NieRAutomata/?snr=1_7_7_230_150_8
Katamari Damacy REROLL	https://store.steampowered.com/app/848350/Katamari_Damacy_REROLL/?snr=1_7_7_230_150_8
Borderlands	https://store.steampowered.com/app/8980/Borderlands/?snr=1_7_7_230_150_8
Vampyr	https://store.steampowered.com/app/427290/Vampyr/?snr=1_7_7_230_150_8
They Are Billions	https://store.steampowered.com/app/644930/They_Are_Billions/?snr=1_7_7_230_150_8
Call of Duty: World at War	https://store.steampowered.com/app/10090/Call_of_Duty_World_at_War/?snr=1_7_7_230_150_8
ATOM RPG: Post-apocalyptic indie game	https://store.steampowered.com/app/552620/ATOM_RPG_Postapocalyptic_indie_game/?snr=1_7_7_230_150_8
Post Scriptum	https://store.steampowered.com/app/736220/Post_Scriptum/?snr=1_7_7_230_150_8
Wreckfest	https://store.steampowered.com/app/228380/Wreckfest/?snr=1_7_7_230_150_9
Just Cause 4	https://store.steampowered.com/app/517630/Just_Cause_4/?snr=1_7_7_230_150_9
Star Trek Online	https://store.steampowered.com/app/9900/Star_Trek_Online/?snr=1_7_7_230_150_9
Call of Duty®: Modern Warfare® 2	https://store.steampowered.com/app/10180/Call_of_Duty_Modern_Warfare_2/?snr=1_7_7_230_150_9
We Happy Few	https://store.steampowered.com/app/320240/We_Happy_Few/?snr=1_7_7_230_150_9
Holdfast: Nations At War	https://store.steampowered.com/app/589290/Holdfast_Nations_At_War/?snr=1_7_7_230_150_9
The Long Dark	https://store.steampowered.com/app/305620/The_Long_Dark/?snr=1_7_7_230_150_9
Ring of Elysium	https://store.steampowered.com/app/755790/Ring_of_Elysium/?snr=1_7_7_230_150_9
Artifact	https://store.steampowered.com/app/583950/Artifact/?snr=1_7_7_230_150_9
The Jackbox Party Pack	https://store.steampowered.com/app/331670/The_Jackbox_Party_Pack/?snr=1_7_7_230_150_9
Injustice™ 2	https://store.steampowered.com/app/627270/Injustice_2/?snr=1_7_7_230_150_9
Fallout 4 VR	https://store.steampowered.com/app/611660/Fallout_4_VR/?snr=1_7_7_230_150_9
Prey	https://store.steampowered.com/app/480490/Prey/?snr=1_7_7_230_150_9
Ultimate Chicken Horse	https://store.steampowered.com/app/386940/Ultimate_Chicken_Horse/?snr=1_7_7_230_150_9
Viscera Cleanup Detail	https://store.steampowered.com/app/246900/Viscera_Cleanup_Detail/?snr=1_7_7_230_150_9
The Elder Scrolls III: Morrowind® Game of the Year Edition	https://store.steampowered.com/app/22320/The_Elder_Scrolls_III_Morrowind_Game_of_the_Year_Edition/?snr=1_7_7_230_150_9
The Sims™ 3	https://store.steampowered.com/app/47890/The_Sims_3/?snr=1_7_7_230_150_9
Keep Talking and Nobody Explodes	https://store.steampowered.com/app/341800/Keep_Talking_and_Nobody_Explodes/?snr=1_7_7_230_150_9
Trove	https://store.steampowered.com/app/304050/Trove/?snr=1_7_7_230_150_9
